时间,房地产投资累计增长(%)
2022/5/28,-4
2022/4/28,-2.7
2022/3/28,0.7
2022/2/28,3.7
2021/12/28,4.4
2021/11/28,6
2021/10/28,7.2
2021/9/28,8.8
2021/8/28,10.9
2021/7/28,12.7
2021/6/28,15
2021/5/28,18.3
2021/4/28,21.6
2021/3/28,25.6
2021/2/28,38.3
2020/12/28,7
2020/11/28,6.8
2020/10/28,6.3
2020/9/28,5.6
2020/8/28,4.6
2020/7/28,3.4
2020/6/28,1.9
2020/5/28,-0.3
2020/4/28,-3.3
2020/3/28,-7.7
2020/2/28,-16.3
2019/12/28,9.9
2019/11/28,10.2
2019/10/28,10.3
2019/9/28,10.5
2019/8/28,10.5
2019/7/28,10.6
2019/6/28,10.9
2019/5/28,11.2
2019/4/28,11.9
2019/3/28,11.8
2019/2/28,11.6
2018/12/28,9.5
2018/11/28,9.7
2018/10/28,9.7
2018/9/28,9.9
2018/8/28,10.1
2018/7/28,10.2
2018/6/28,9.7
2018/5/28,10.2
2018/4/28,10.3
2018/3/28,10.4
2018/2/28,9.9
2017/12/28,7
2017/11/28,7.5
2017/10/28,7.8
2017/9/28,8.1
2017/8/28,7.9
2017/7/28,7.9
2017/6/28,8.5
2017/5/28,8.8
2017/4/28,9.3
2017/3/28,9.1
2017/2/28,8.9
2016/12/28,6.9
2016/11/28,6.5
2016/10/28,6.6
2016/9/28,5.8
2016/8/28,5.4
2016/7/28,5.3
2016/6/28,6.1
2016/5/28,7
2016/4/28,7.2
2016/3/28,6.2
2016/2/28,3
2015/12/28,1
2015/11/28,1.3
2015/10/28,2
2015/9/28,2.6
2015/8/28,3.5
2015/7/28,4.3
2015/6/28,4.6
2015/5/28,5.1
2015/4/28,6
2015/3/28,8.5
2015/2/28,10.4
2014/12/28,10.5
2014/11/28,11.9
2014/10/28,12.4
2014/9/28,12.5
2014/8/28,13.2
2014/7/28,13.7
2014/6/28,14.1
2014/5/28,14.7
2014/4/28,16.4
2014/3/28,16.8
2014/2/28,19.3
2013/12/28,19.8
2013/11/28,19.5
2013/10/28,19.2
2013/9/28,19.7
2013/8/28,19.3
2013/7/28,20.5
2013/6/28,20.3
2013/5/28,20.6
2013/4/28,21.1
2013/3/28,20.2
2013/2/28,22.8
2012/12/28,16.2
2012/11/28,16.7
2012/10/28,15.4
2012/9/28,15.4
2012/8/28,15.6
2012/7/28,15.4
2012/6/28,16.6
2012/5/28,18.5
2012/4/28,18.7
2012/3/28,23.5
2012/2/28,27.8
2011/12/28,27.9
2011/11/28,29.9
2011/10/28,31.1
2011/9/28,32
2011/8/28,33.2
2011/7/28,33.6
2011/6/28,32.9
2011/5/28,34.6
2011/4/28,34.3
2011/3/28,34.1
2011/2/28,35.2
2010/12/28,33.2
2010/11/28,36.5
2010/10/28,36.5
2010/9/28,36.4
2010/8/28,36.7
2010/7/28,37.2
2010/6/28,38.1
2010/5/28,38.2
2010/4/28,36.2
2010/3/28,35.1
2010/2/28,31.1
2009/12/28,16.1
2009/11/28,17.8
2009/10/28,16.6
2009/9/28,15.4
2009/8/28,12.5
2009/7/28,9.5
2009/6/28,8.3
2009/5/28,5.8
2009/4/28,4.9
2009/3/28,4.1
2009/2/28,1
2008/12/28,20.9
2008/11/28,22.7
2008/10/28,24.6
2008/9/28,26.5
2008/8/28,29.1
2008/7/28,30.9
2008/6/28,33.5
2008/5/28,31.9
2008/4/28,32.1
2008/3/28,32.3
2008/2/28,32.9
2007/12/28,30.2
2007/11/28,31.8
2007/10/28,31.4
2007/9/28,30.3
2007/8/28,29
2007/7/28,28.9
2007/6/28,28.5
2007/5/28,27.5
2007/4/28,27.4
2007/3/28,26.9
2007/2/28,24.3
2006/12/28,21.8
2006/11/28,24
2006/10/28,24.1
2006/9/28,24.3
2006/8/28,24
2006/7/28,24
2006/6/28,24.2
2006/5/28,21.8
2006/4/28,21.3
2006/3/28,20.2
2006/2/28,19.7
2005/12/28,19.8
2005/11/28,22.2
2005/10/28,21.6
2005/9/28,22.2
2005/8/28,22.3
2005/7/28,23.5
2005/6/28,23.5
2005/5/28,24.3
2005/4/28,25.9
2005/3/28,26.7
2005/2/28,27
2004/12/28,28.1
2004/11/28,29.2
2004/10/28,28.9
2004/9/28,28.3
2004/8/28,28.8
2004/7/28,28.6
2004/6/28,28.7
2004/5/28,32
2004/4/28,34.6
2004/3/28,41.1
2004/2/28,50.2
2003/12/28,29.7
2003/11/28,32.5
2003/10/28,31.3
2003/9/28,32.8
2003/8/28,33.1
2003/7/28,34.1
2003/6/28,34
2003/5/28,32.9
2003/4/28,33.5
2003/3/28,34.9
2003/2/28,37
2002/12/28,21.9
2002/11/28,28.2
2002/10/28,29.8
2002/9/28,29.4
2002/8/28,30
2002/7/28,30.7
2002/6/28,32.9
2002/5/28,36.7
2002/4/28,38.8
2002/3/28,36.2
2002/2/28,30.2
2001/12/28,25.3
2001/11/28,29.7
2001/10/28,31.2
2001/9/28,31.4
2001/8/28,32.1
2001/7/28,31.6
2001/6/28,28.2
2001/5/28,26.5
2001/4/28,22.8
2001/3/28,22.9
2001/2/28,23
2000/12/28,19.5
2000/11/28,24.1
2000/10/28,24.6
2000/9/28,25
2000/8/28,24.3
2000/7/28,24.1
2000/6/28,22.4
2000/5/28,20.8
2000/4/28,20.8
2000/3/28,20.4
2000/2/28,19.8
